"PCODE_ADM2_GOV":"Persons"
"MLI007002":"2291"
"MLI007003":"1168"
"MLI007004":"1230"
"MLI007001":"2381"
"MLI006002":"4050"
"MLI006003":"1354"
"MLI006004":"476"
"MLI006005":"871"
"MLI006001":"5193"
"MLI008002":"1727"
"MLI008001":"5469"
"MLI008003":"3455"
"MLI008004":"1374"
"MLI005002":"80"
"MLI005003":"37"
"MLI005004":"83"
"MLI005005":"119"
"MLI005006":"263"
"MLI005001":"3981"
"MLI005007":"58"
"MLI005008":"44"
